x, T_15,  T_30, T_60, T_90, T_150, T_210
0.000976, 41.9883, 49.3641, 55.3577, 57.0523, 57.6669, 57.7161
0.00098, 41.9853, 49.3611, 55.3547, 57.0494, 57.664, 57.7131
0.000984, 41.9824, 49.3582, 55.3518, 57.0464, 57.661, 57.7102
0.000988, 41.9794, 49.3552, 55.3488, 57.0435, 57.6581, 57.7072
0.000992, 41.9765, 49.3523, 55.3459, 57.0405, 57.6551, 57.7043
0.000996, 41.9735, 49.3493, 55.3429, 57.0376, 57.6522, 57.7013
0.001, 41.9706, 49.3464, 55.34, 57.0346, 57.6492, 57.6984
0.001004, 41.9676, 49.3434, 55.337, 57.0317, 57.6463, 57.6954
0.001008, 41.9647, 49.3405, 55.3341, 57.0287, 57.6434, 57.6925
0.001012, 41.9617, 49.3375, 55.3311, 57.0258, 57.6404, 57.6895
0.001016, 41.9588, 49.3346, 55.3282, 57.0228, 57.6375, 57.6866
0.00102, 41.9559, 49.3316, 55.3252, 57.0199, 57.6345, 57.6836
0.001024, 41.9529, 49.3287, 55.3223, 57.0169, 57.6316, 57.6807
0.001028, 41.95, 49.3258, 55.3193, 57.014, 57.6286, 57.6778
0.001032, 41.947, 49.3228, 55.3164, 57.011, 57.6257, 57.6748
0.001036, 41.9441, 49.3199, 55.3134, 57.0081, 57.6227, 57.6719
0.00104, 41.9411, 49.3169, 55.3105, 57.0051, 57.6198, 57.6689
0.001044, 41.9382, 49.314, 55.3076, 57.0022, 57.6168, 57.666
0.001048, 41.9352, 49.311, 55.3046, 56.9993, 57.6139, 57.663
0.001052, 41.9323, 49.3081, 55.3017, 56.9963, 57.6109, 57.6601
0.001056, 41.9294, 49.3051, 55.2987, 56.9934, 57.608, 57.6571
0.00106, 41.9264, 49.3022, 55.2958, 56.9904, 57.6051, 57.6542
0.001064, 41.9235, 49.2993, 55.2928, 56.9875, 57.6021, 57.6513
0.001068, 41.9205, 49.2963, 55.2899, 56.9845, 57.5992, 57.6483
0.001072, 41.9176, 49.2934, 55.2869, 56.9816, 57.5962, 57.6454
0.001076, 41.9146, 49.2904, 55.284, 56.9787, 57.5933, 57.6424
0.00108, 41.9117, 49.2875, 55.2811, 56.9757, 57.5904, 57.6395
0.001084, 41.9088, 49.2845, 55.2781, 56.9728, 57.5874, 57.6366
0.001088, 41.9058, 49.2816, 55.2752, 56.9698, 57.5845, 57.6336
0.001092, 41.9029, 49.2787, 55.2722, 56.9669, 57.5815, 57.6307
0.001096, 41.8999, 49.2757, 55.2693, 56.964, 57.5786, 57.6277
0.0011, 41.897, 49.2728, 55.2664, 56.961, 57.5757, 57.6248
0.001104, 41.8941, 49.2699, 55.2634, 56.9581, 57.5727, 57.6219
0.001108, 41.8911, 49.2669, 55.2605, 56.9551, 57.5698, 57.6189
0.001112, 41.8882, 49.264, 55.2576, 56.9522, 57.5668, 57.616
0.001116, 41.8853, 49.261, 55.2546, 56.9493, 57.5639, 57.613
0.00112, 41.8823, 49.2581, 55.2517, 56.9463, 57.561, 57.6101
0.001124, 41.8794, 49.2552, 55.2487, 56.9434, 57.558, 57.6072
0.001128, 41.8764, 49.2522, 55.2458, 56.9405, 57.5551, 57.6042
0.001132, 41.8735, 49.2493, 55.2429, 56.9375, 57.5522, 57.6013
0.001136, 41.8706, 49.2464, 55.2399, 56.9346, 57.5492, 57.5984
0.00114, 41.8676, 49.2434, 55.237, 56.9317, 57.5463, 57.5954
0.001144, 41.8647, 49.2405, 55.2341, 56.9287, 57.5434, 57.5925
0.001148, 41.8618, 49.2376, 55.2311, 56.9258, 57.5404, 57.5896
0.001152, 41.8588, 49.2346, 55.2282, 56.9228, 57.5375, 57.5866
0.001156, 41.8559, 49.2317, 55.2253, 56.9199, 57.5346, 57.5837
0.00116, 41.853, 49.2288, 55.2223, 56.917, 57.5316, 57.5808
0.001164, 41.85, 49.2258, 55.2194, 56.9141, 57.5287, 57.5778
0.001168, 41.8471, 49.2229, 55.2165, 56.9111, 57.5258, 57.5749
0.001172, 41.8442, 49.22, 55.2135, 56.9082, 57.5228, 57.572
